deposit_id,customer_id,account_type,current_balance,opened_date
DEP001,CUST001,Savings,450000,2018-05-14
DEP002,CUST001,Checking,125000,2020-08-10
DEP003,CUST002,Savings,180000,2021-01-12
DEP004,CUST003,Savings,920000,2017-11-20
DEP005,CUST003,Checking,350000,2019-03-15
DEP006,CUST004,Savings,95000,2022-07-11
DEP007,CUST005,Savings,780000,2016-09-05
DEP008,CUST006,Savings,220000,2020-12-18
DEP009,CUST007,Checking,175000,2019-06-22
DEP010,CUST008,Savings,85000,2023-02-01
DEP011,CUST009,Savings,1450000,2015-10-10
DEP012,CUST010,Savings,240000,2021-09-09
DEP013,CUST011,Savings,680000,2018-04-04
DEP014,CUST011,Checking,210000,2020-02-17
DEP015,CUST012,Savings,160000,2022-05-25
DEP016,CUST013,Savings,1750000,2014-12-01
DEP017,CUST013,Checking,500000,2017-08-19
DEP018,CUST014,Savings,90000,2023-01-10
DEP019,CUST015,Savings,980000,2016-06-06
DEP020,CUST016,Savings,275000,2021-07-12
DEP021,CUST017,Savings,430000,2019-09-23
DEP022,CUST018,Savings,620000,2018-11-30
DEP023,CUST018,Checking,150000,2021-04-14
DEP024,CUST019,Savings,115000,2022-10-03
DEP025,CUST020,Savings,1320000,2015-01-21
DEP026,CUST005,Checking,300000,2018-05-08
DEP027,CUST007,Savings,290000,2020-03-16
DEP028,CUST010,Checking,125000,2022-02-20
DEP029,CUST015,Checking,420000,2019-12-05
DEP030,CUST020,Checking,650000,2018-08-08
