loan_id,customer_id,loan_type,loan_amount,interest_rate,status
LOAN001,CUST001,Home,4500000,8.25,Active
LOAN002,CUST002,Personal,500000,12.5,Active
LOAN003,CUST003,Home,7500000,7.95,Active
LOAN004,CUST005,Auto,1200000,9.25,Closed
LOAN005,CUST007,Personal,800000,13.25,Delinquent
LOAN006,CUST009,Home,10000000,7.75,Active
LOAN007,CUST010,Auto,900000,8.9,Active
LOAN008,CUST011,Business,3500000,10.5,Active
LOAN009,CUST013,Home,12000000,7.5,Closed
LOAN010,CUST015,Business,5000000,10.25,Active
LOAN011,CUST017,Personal,650000,12.75,Active
LOAN012,CUST018,Auto,1500000,8.85,Closed
LOAN013,CUST020,Home,8500000,7.8,Active
LOAN014,CUST006,Education,750000,9.5,Active
LOAN015,CUST014,Personal,300000,13.75,Delinquent
